Timestamp,Date,Client ID,Age,Income of Principal Buyer,Marital Status,No. of Family Members,Preferred Location,SOURCE OF LEAD,Source of Income,Employer,Preferred Pay Term,Age of Spouse,Income of Spouse,Recommended Model
02/22/2024 09:37:35,02/22/2024,Client 16,27,"PHP 92,000",Single,N/a,LIPA,Referral,Locally Employed,Philippine general hospital,20-80 Pagibig Financing,N/a,N/a,CALISTA MID
02/23/2024 20:09:20,02/23/2024,Client 17,50,"PHP 195,500",Single,N/a,LIPA,Facebook Ads,Self Employed/ Business Owner,own business operations,Cash,N/a,N/a,CALISTA END
02/26/2024 12:59:22,02/26/2024,Client 18,39,"PHP 86,000",Married,3,PANDI EXPANSION,Referral,Self Employed/ Business Owner,own accounting practice,20-80 Pagibig Financing,39,"PHP 48,500",CALISTA END
02/28/2024 11:01:41,02/28/2024,Client 19,49,"PHP 23,500",Single,,LIPA,Referral,Locally Employed,philippine national police,10-90 Bank Financing,,,CALISTA MID
03/10/2024 11:45:09,03/10/2024,Client 20,25,"PHP 210,000",Married,3,MAGALANG EAST,Referral,OFW Land base,Al rajhi bank,20-80 Pagibig Financing,25,"PHP 172,500",CALISTA END
03/11/2024 14:15:36,03/11/2024,Client 21,51,"PHP 67,000",Single,,LIPA,Facebook Ads,OFW Sea Base,philippine Airlines (int'l),20-80 Pagibig Financing,,,CALISTA MID
03/13/2024 13:20:28,03/13/2024,Client 22,30,"PHP 85,500",Married,3,LIPA,Other:,Locally Employed,globe telecom,10-90 Bank Financing,25,"PHP 72,000",CALISTA END
03/13/2024 17:56:33,03/13/2024,Client 23,32,"PHP 41,000",Married,7,LIPA,Facebook Ads,Locally Employed,Ayala Land Construction,20-80 Pagibig Financing,35,"PHP 23,000",CALISTA MID
03/23/2024 10:39:07,03/23/2024,Client 24,50,"PHP 324,000",Married,4,BALIWAG,Other:,OFW Land base,Hyundai engineering korea,20-80 Pagibig Financing,48,"PHP 319,000",UNNA CORNER
03/24/2024 09:26:50,03/24/2024,Client 25,55,"PHP 156,500",Single,,BALIWAG,Facebook Ads,OFW Land base,samsung c&t (saudi),20-80 Pagibig Financing,,,CALISTA END
04/07/2024 20:55:25,04/07/2024,Client 26,46,"PHP 72,500",Married,7,GAPAN,Facebook Ads,OFW Land base,Japan tobacco int'l,10-90 Bank Financing,43,"PHP 49,000",CALISTA END
04/17/2024 13:18:08,04/17/2024,Client 27,35,"PHP 145,500",Married,7,BATULAO,Facebook Ads,OFW Sea Base,Maersk line,20-80 Pagibig Financing,32,"PHP 160,000",CALISTA END
04/18/2024 08:27:21,04/18/2024,Client 28,47,"PHP 46,000",Married,6,BATULAO,Facebook Ads,Locally Employed,universal robina corp,20-80 Pagibig Financing,51,"PHP 57,000",CALISTA END
04/20/2024 11:03:17,04/20/2024,Client 29,33,"PHP 111,000",Single,,LIPA,Facebook Ads,OFW Land base,Adnoc,10-90 Bank Financing,,,CALISTA END
04/23/2024 13:12:01,04/23/2024,Client 30,43,"PHP 47,000",Widow,,LIPA,Referral,Self Employed/ Business Owner,Tricycle operator,20-80 Pagibig Financing,,,CALISTA MID
04/26/2024 12:11:33,04/26/2024,Client 31,28,"PHP 35,500",Married,2,MAGALANG EAST,Facebook Ads,OFW Sea Base,philippine airlines (int'l),10-90 Bank Financing,23,"PHP 21,000",CALISTA MID
04/28/2024 15:37:23,04/28/2024,Client 32,45,"PHP 60,500",Single,,LIPA,Broker/Agent,OFW Land base,Bechtel middle east,10-90 Bank Financing,,,CALISTA MID
05/08/2024 10:57:07,05/08/2024,Client 33,31,"PHP 130,000",Married,6,LIPA,Facebook Ads,OFW Land base,AL rajhi bank,10-90 Bank Financing,36,"PHP 150,000",CALISTA END
05/09/2024 15:51:11,05/09/2024,Client 34,28,"PHP 32,500",Married,5,LIPA,Referral,OFW Land base,emirates airlines,20-80 Pagibig Financing,29,"PHP 32,500",CALISTA MID
05/10/2024 16:11:07,05/10/2024,Client 35,30,"PHP 27,000",Widow,,LIPA,Facebook Ads,Locally Employed,Universal robina corp,10-90 Bank Financing,,,CALISTA MID
05/16/2024 14:25:52,05/16/2024,Client 36,25,"PHP 39,500",Married,2,LIPA,Facebook Ads,OFW Land base,petrofac,10-90 Bank Financing,29,"PHP 20,000",CALISTA MID
05/21/2024 09:11:43,05/21/2024,Client 37,46,"PHP 192,000",Widow,4,CALAMBA,Referral,OFW Land base,Samsung hq seoul,20-80 Pagibig Financing,,,CALISTA END
06/04/2024 09:31:04,06/04/2024,Client 38,43,"PHP 58,500",Married,2,BATULAO,Facebook Ads,Self Employed/ Business Owner,Tricycle operator,20-80 Pagibig Financing,46,"PHP 48,000",CALISTA END
06/14/2024 10:29:33,06/14/2024,Client 39,54,"PHP 18,500",Single,N/a,GEN TRI,Referral,Self Employed/ Business Owner,family catering services,20-80 Pagibig Financing,N/a,N/a,CALISTA MID
06/15/2024 20:16:33,06/15/2024,Client 40,35,"PHP 286,000",Married,4,BALIWAG,Facebook Ads,Locally Employed,Sm investments corp,20-80 Pagibig Financing,33,"PHP 244,500",UNNA CORNER
06/18/2024 12:45:55,06/18/2024,Client 41,52,"PHP 127,000",Married,5,GEN TRI,Referral,Self Employed/ Business Owner,freelance Services,20-80 Pagibig Financing,53,"PHP 147,000",UNNA CORNER
06/21/2024 16:34:50,06/21/2024,Client 42,35,"PHP 26,000",Single,,GEN TRI,Referral,Locally Employed,Meralco,20-80 Pagibig Financing,,,CALISTA MID
06/25/2024 17:26:27,06/25/2024,Client 43,45,"PHP 122,500",Married,3,MAGALANG EAST,Broker/Agent,OFW Land base,Al rajhi Bank,20-80 Pagibig Financing,47,"PHP 151,500",CALISTA END
07/05/2024 13:27:12,07/05/2024,Client 44,44,"PHP 108,000",Married,6,LIPA,Referral,OFW Sea Base,msc cruises,Deferred Cash,48,"PHP 121,500",CALISTA END
07/08/2024 09:09:29,07/08/2024,Client 45,36,"PHP 169,000",Married,6,PANDI EXPANSION,Facebook Ads,OFW Land base,prosegur uae,20-80 Pagibig Financing,40,"PHP 212,000",CALISTA END
07/09/2024 20:33:36,07/09/2024,Client 46,25,"PHP 165,500",Single,,NAIC,Referral,OFW Land base,Samsung c&t (saudi),10-90 Bank Financing,,,CALISTA END
07/15/2024 20:07:14,07/15/2024,Client 47,33,"PHP 21,000",Married,2,STO. TOMAS,Facebook Ads,Self Employed/ Business Owner,Independent contractor,20-80 Pagibig Financing,29,"PHP 13,000",CALISTA MID
07/16/2024 16:38:14,07/16/2024,Client 48,35,"PHP 172,000",Married,6,GEN TRI,Broker/Agent,OFW Land base,hyundai engineering,20-80 Pagibig Financing,32,"PHP 142,500",CALISTA END
07/16/2024 13:19:54,07/16/2024,Client 49,53,"PHP 63,000",Single,,BALIWAG,Facebook Ads,Self Employed/ Business Owner,online seller,Cash,,,CALISTA MID
07/18/2024 15:41:46,07/18/2024,Client 50,49,"PHP 85,500",Married,3,LIPA,Facebook Ads,OFW Land base,four Seasons dubai,10-90 Bank Financing,49,"PHP 95,500",CALISTA END
07/20/2024 19:10:18,07/20/2024,Client 51,38,"PHP 64,500",Single,,MAGALANG EAST,Broker/Agent,Locally Employed,Philippine airlines,20-80 Pagibig Financing,,,CALISTA MID
07/26/2024 11:56:48,07/26/2024,Client 52,26,"PHP 66,000",Married,7,CALAMBA,Referral,Locally Employed,philippine national police,20-80 Pagibig Financing,22,"PHP 78,500",CALISTA END
07/29/2024 20:33:30,07/29/2024,Client 53,36,"PHP 41,000",Married,7,LIPA,Facebook Ads,Locally Employed,universal robina Corp,20-80 Pagibig Financing,33,"PHP 42,500",CALISTA MID
08/03/2024 15:58:20,08/03/2024,Client 54,53,"PHP 214,000",Single,N/a,PANDI EXPANSION,Referral,OFW Land base,Qatar petroleum,10-90 Bank Financing,N/a,N/a,CALISTA END
08/06/2024 08:17:15,08/06/2024,Client 55,53,"PHP 151,000",Married,7,BATULAO,Facebook Ads,OFW Land base,northrop grumman,20-80 Pagibig Financing,57,"PHP 176,000",CALISTA END
08/21/2024 09:25:48,08/21/2024,Client 56,50,"PHP 193,000",Single,,MAGALANG EAST,Broker/Agent,OFW Land base,Al rajhi bank,10-90 Bank Financing,,,CALISTA END
08/26/2024 09:58:58,08/26/2024,Client 57,31,"PHP 113,500",Single,,LIPA,Facebook Ads,OFW Land base,Al futtaim group,20-80 Pagibig Financing,,,CALISTA END
08/27/2024 18:43:45,08/27/2024,Client 58,46,"PHP 198,000",Married,6,BATULAO,Facebook Ads,OFW Sea Base,Msc cruises,20-80 Pagibig Financing,47,"PHP 152,500",CALISTA END
09/06/2024 10:24:50,09/06/2024,Client 59,41,"PHP 201,000",Married,5,BATULAO,Broker/Agent,OFW Land base,Emaar properties,Deferred Cash,42,"PHP 167,000",CALISTA END
09/12/2024 09:13:29,09/12/2024,Client 60,30,"PHP 38,500",Married,3,LIPA,Facebook Ads,Self Employed/ Business Owner,Independent contractor,20-80 Pagibig Financing,33,"PHP 22,000",CALISTA MID
09/14/2024 14:44:55,09/14/2024,Client 61,41,"PHP 102,000",Married,5,PANDI EXPANSION,Referral,OFW Land base,four seasons dubai,20-80 Pagibig Financing,41,"PHP 110,000",CALISTA END
09/24/2024 16:58:50,09/24/2024,Client 62,41,"PHP 125,500",Married,6,CALAMBA,Facebook Ads,OFW Land base,Hyundai engineering korea,20-80 Pagibig Financing,43,"PHP 86,000",CALISTA END
10/05/2024 12:58:40,10/05/2024,Client 63,53,"PHP 233,500",Married,4,STO. TOMAS,Broker/Agent,OFW Land base,Al rajhi bank,20-80 Pagibig Financing,51,"PHP 239,000",CALISTA END
10/05/2024 08:35:13,10/05/2024,Client 64,34,"PHP 189,500",Married,2,PANDI EXPANSION,Broker/Agent,OFW Sea Base,msc cruises,10-90 Bank Financing,30,"PHP 227,500",CALISTA END
10/06/2024 15:05:50,10/06/2024,Client 65,34,"PHP 146,000",Single,,BATULAO,Referral,OFW Land base,SOHAR aluminum,10-90 Bank Financing,,,CALISTA END
10/06/2024 10:10:07,10/06/2024,Client 66,44,"PHP 70,000",Married,3,BATULAO,Referral,OFW Land base,aramco,20-80 Pagibig Financing,42,"PHP 78,000",CALISTA END
10/08/2024 16:38:13,10/08/2024,Client 67,50,"PHP 95,500",Single,N/a,BATULAO,Referral,OFW Sea Base,carnival cruise line,20-80 Pagibig Financing,N/a,N/a,CALISTA MID
10/12/2024 10:16:40,10/12/2024,Client 68,45,"PHP 30,500",Single,N/a,BATULAO,Broker/Agent,Self Employed/ Business Owner,family agricultural business,10-90 Bank Financing,N/a,N/a,CALISTA MID
10/15/2024 12:46:39,10/15/2024,Client 69,34,"PHP 74,500",Married,7,SAN PABLO EAST,Broker/Agent,Locally Employed,ayala land construction,20-80 Pagibig Financing,33,"PHP 63,500",CALISTA END
10/15/2024 13:03:30,10/15/2024,Client 70,27,"PHP 160,000",Single,N/a,MAGALANG EAST,Other:,OFW Land base,adnoc,20-80 Pagibig Financing,N/a,N/a,CALISTA END
10/15/2024 16:17:20,10/15/2024,Client 71,47,"PHP 206,000",Married,5,GEN TRI,Broker/Agent,OFW Sea Base,carnival cruise line,10-90 Bank Financing,48,"PHP 262,000",CALISTA END
10/21/2024 15:09:41,10/21/2024,Client 72,53,"PHP 38,000",Single,N/a,STO. TOMAS,Facebook Ads,OFW Sea Base,carnival cruise Line,20-80 Pagibig Financing,N/a,N/a,CALISTA MID
10/24/2024 15:41:56,10/24/2024,Client 73,41,"PHP 19,000",Married,4,BATULAO,Broker/Agent,Self Employed/ Business Owner,Sari-sari store,10-90 Bank Financing,44,"PHP 14,000",CALISTA MID
10/25/2024 10:36:11,10/25/2024,Client 74,42,"PHP 40,000",Single,,MAGALANG EAST,Referral,OFW Land base,Al futtaim group,20-80 Pagibig Financing,,,CALISTA MID
10/27/2024 20:17:36,10/27/2024,Client 75,53,"PHP 200,000",Single,,MAGALANG EAST,Broker/Agent,Locally Employed,Ayala land construction,Cash,,,CALISTA END
10/28/2024 14:48:58,10/28/2024,Client 76,56,"PHP 316,500",Married,6,BALIWAG,Facebook Ads,OFW Sea Base,CARNIVAL cruise line,10-90 Bank Financing,59,"PHP 190,500",UNNA CORNER
10/30/2024 09:56:42,10/30/2024,Client 77,49,"PHP 182,500",Married,3,NAIC,Other:,OFW Sea Base,msc cruises,10-90 Bank Financing,50,"PHP 220,000",CALISTA END
10/31/2024 15:40:34,10/31/2024,Client 78,32,"PHP 176,000",Widow,,LIPA,Facebook Ads,Locally Employed,metrobank,20-80 Pagibig Financing,,,CALISTA END
10/31/2024 20:06:43,10/31/2024,Client 79,47,"PHP 92,000",Married,3,LIPA,Facebook Ads,OFW Land base,Samsung C&t (saudi),20-80 Pagibig Financing,51,"PHP 57,500",CALISTA END
11/05/2024 10:15:31,11/05/2024,Client 80,39,"PHP 74,000",Married,4,MAGALANG EAST,Referral,Self Employed/ Business Owner,freelance services,20-80 Pagibig Financing,44,"PHP 77,000",CALISTA END
11/10/2024 12:46:33,11/10/2024,Client 81,25,"PHP 139,500",Single,N/a,BALANGA,Broker/Agent,OFW Land base,Four seasons dubai,20-80 Pagibig Financing,N/a,N/a,CALISTA END
11/25/2024 16:59:18,11/25/2024,Client 82,49,"PHP 92,500",Married,2,LIPA,Facebook Ads,Self Employed/ Business Owner,event catering entrepreneur,20-80 Pagibig Financing,51,"PHP 60,500",CALISTA END
12/05/2024 16:15:39,12/05/2024,Client 83,33,"PHP 193,000",Single,,BATULAO,Facebook Ads,OFW Land base,Samsung c&t (saudi),10-90 Bank Financing,,,CALISTA END
12/10/2024 14:02:31,12/10/2024,Client 84,50,"PHP 175,000",Single,N/a,PANDI EXPANSION,Broker/Agent,OFW Sea Base,carnival cruise line,20-80 Pagibig Financing,N/a,N/a,CALISTA END
12/12/2024 19:12:48,12/12/2024,Client 85,54,"PHP 72,000",Single,N/a,NAIC,Facebook Ads,OFW Land base,bechtel middle east,Deferred Cash,N/a,N/a,CALISTA MID
12/15/2024 19:01:35,12/15/2024,Client 86,30,"PHP 30,000",Married,2,MAGALANG EAST,Referral,OFW Land base,aramco,20-80 Pagibig Financing,35,"PHP 23,500",CALISTA MID
12/17/2024 11:03:53,12/17/2024,Client 87,33,"PHP 118,500",Single,,PANDI EXPANSION,Facebook Ads,OFW Land base,Petrofac,20-80 Pagibig Financing,,,CALISTA END
12/24/2024 08:53:01,12/24/2024,Client 88,48,"PHP 25,500",Single,,LIPA,Facebook Ads,Self Employed/ Business Owner,Own accounting Practice,20-80 Pagibig Financing,,,CALISTA MID
12/31/2024 09:28:54,12/31/2024,Client 89,27,"PHP 140,500",Married,5,PANDI EXPANSION,Broker/Agent,Locally Employed,department OF EDUCATION,Cash,26,"PHP 144,000",CALISTA END
01/01/2025 11:26:55,01/01/2025,Client 90,29,"PHP 97,500",Married,2,BATULAO,Referral,Self Employed/ Business Owner,own business operations,Cash,27,"PHP 80,500",CALISTA END
01/01/2025 17:28:41,01/01/2025,Client 91,33,"PHP 194,000",Single,,BATULAO,Broker/Agent,OFW Land base,al futtaim group,20-80 Pagibig Financing,,,CALISTA END
01/12/2025 09:04:05,01/12/2025,Client 92,28,"PHP 92,000",Widow,N/a,GEN TRI,Broker/Agent,Self Employed/ Business Owner,family catering services,20-80 Pagibig Financing,N/a,N/a,CALISTA MID
01/14/2025 09:04:28,01/14/2025,Client 93,54,"PHP 40,500",Single,,LIPA,Facebook Ads,Self Employed/ Business Owner,family agricultural business,Cash,,,CALISTA MID
01/17/2025 17:53:39,01/17/2025,Client 94,43,"PHP 50,000",Married,4,GAPAN,Facebook Ads,OFW Land base,Sohar aluminum,20-80 Pagibig Financing,39,"PHP 45,000",CALISTA END
01/18/2025 16:17:17,01/18/2025,Client 95,58,"PHP 94,000",Married,6,GEN TRI,Referral,OFW Land base,enoc,10-90 Bank Financing,53,"PHP 86,000",UNNA CORNER
01/22/2025 15:49:19,01/22/2025,Client 96,52,"PHP 93,000",Married,6,NAIC,Facebook Ads,OFW Land base,Consolidated contractors,20-80 Pagibig Financing,49,"PHP 84,500",CALISTA END
01/22/2025 13:24:35,01/22/2025,Client 97,47,"PHP 128,000",Single,,PANDI EXPANSION,Referral,OFW Sea Base,evergreen marine,20-80 Pagibig Financing,,,CALISTA END
01/24/2025 12:43:39,01/24/2025,Client 98,49,"PHP 113,000",Single,,BATULAO,Referral,OFW Land base,prosegur uae,Deferred Cash,,,CALISTA END
02/07/2025 14:28:19,02/07/2025,Client 99,35,"PHP 183,500",Single,,GAPAN,Facebook Ads,OFW Sea Base,carnival cruise line,20-80 Pagibig Financing,,,CALISTA END
02/09/2025 08:03:03,02/09/2025,Client 100,39,"PHP 147,500",Married,4,MAGALANG EAST,Other:,OFW Land base,emaar properties,20-80 Pagibig Financing,40,"PHP 129,000",CALISTA END
02/12/2025 16:18:43,02/12/2025,Client 101,35,"PHP 217,500",Married,2,BATULAO,Facebook Ads,OFW Land base,al rajhi bank,20-80 Pagibig Financing,40,"PHP 216,500",CALISTA END
02/22/2025 14:36:53,02/22/2025,Client 102,63,"PHP 210,000",Married,9,BALIWAG,Referral,Locally Employed,bureau OF internal REVENUE,Cash,67,"PHP 234,000",UNNA CORNER
03/08/2025 09:45:29,03/08/2025,Client 103,40,"PHP 112,500",Married,5,TAYABAS,Broker/Agent,OFW Land base,four SEASONS dubai,20-80 Pagibig Financing,35,"PHP 146,000",CALISTA END
03/10/2025 18:37:53,03/10/2025,Client 104,32,"PHP 69,500",Married,6,BATULAO,Broker/Agent,OFW Sea Base,evergreen marine,20-80 Pagibig Financing,28,"PHP 67,000",CALISTA END
03/12/2025 16:38:08,03/12/2025,Client 105,38,"PHP 153,500",Single,,BALIWAG,Facebook Ads,Locally Employed,the medical city,20-80 Pagibig Financing,,,CALISTA END
03/13/2025 11:45:00,03/13/2025,Client 106,34,"PHP 41,500",Single,N/a,CALAMBA,Facebook Ads,Self Employed/ Business Owner,independent contractor,20-80 Pagibig Financing,N/a,N/a,CALISTA MID
03/15/2025 16:45:44,03/15/2025,Client 107,47,"PHP 119,000",Single,,IMPRESSIONS HERMOSA,Other:,OFW Land base,Petrofac,20-80 Pagibig Financing,,,CALISTA END
03/17/2025 17:04:14,03/17/2025,Client 108,44,"PHP 73,500",Single,N/a,GEN TRI,Referral,OFW Land base,Jumeirah group,20-80 Pagibig Financing,N/a,N/a,CALISTA MID
03/19/2025 19:26:34,03/19/2025,Client 109,25,"PHP 112,000",Married,2,PANDI EXPANSION,Facebook Ads,OFW Land base,apple inc.,20-80 Pagibig Financing,22,"PHP 145,000",CALISTA END
03/29/2025 09:36:36,03/29/2025,Client 110,52,"PHP 200,500",Married,5,CALAMBA,Broker/Agent,OFW Land base,adnoc,20-80 Pagibig Financing,53,"PHP 227,000",CALISTA END
04/08/2025 13:59:22,04/08/2025,Client 111,30,"PHP 116,500",Married,2,MAGALANG EAST,Facebook Ads,OFW Land base,japan tobacco int'l,20-80 Pagibig Financing,32,"PHP 89,000",CALISTA END
04/10/2025 13:30:07,04/10/2025,Client 112,27,"PHP 108,000",Married,6,LIPA,Referral,OFW Land base,Samsung hq seoul,20-80 Pagibig Financing,29,"PHP 129,000",CALISTA END
04/20/2025 20:42:08,04/20/2025,Client 113,42,"PHP 94,000",Married,4,LIPA,Facebook Ads,OFW Land base,pricewaterhousecoopers uae,Deferred Cash,43,"PHP 78,500",CALISTA END
04/22/2025 20:00:09,04/22/2025,Client 114,37,"PHP 29,000",Single,,BATULAO,Referral,Locally Employed,Accenture philippines,10-90 Bank Financing,,,CALISTA MID
04/24/2025 09:52:23,04/24/2025,Client 115,43,"PHP 182,000",Married,7,GEN TRI,Facebook Ads,OFW Sea Base,carnival cruise line,20-80 Pagibig Financing,41,"PHP 131,000",CALISTA END
04/25/2025 09:51:38,04/25/2025,Client 116,33,"PHP 136,500",Single,,BATULAO,Facebook Ads,Locally Employed,bdo UNIBANK,Cash,,,CALISTA END
04/25/2025 17:24:40,04/25/2025,Client 117,30,"PHP 144,500",Single,,BATULAO,Facebook Ads,Locally Employed,Meralco,20-80 Pagibig Financing,,,CALISTA END
04/25/2025 13:44:45,04/25/2025,Client 118,47,"PHP 198,500",Married,6,LIPA,Facebook Ads,OFW Land base,Aster dm healthcare,20-80 Pagibig Financing,44,"PHP 230,500",CALISTA END
04/25/2025 20:34:54,04/25/2025,Client 119,43,"PHP 45,500",Married,4,BATULAO,Broker/Agent,Self Employed/ Business Owner,tricycle operator,20-80 Pagibig Financing,47,"PHP 55,500",CALISTA MID
05/05/2025 12:22:33,05/05/2025,Client 120,26,"PHP 80,000",Married,6,BATULAO,Facebook Ads,OFW Land base,Qatar petroleum,20-80 Pagibig Financing,31,"PHP 51,000",CALISTA END
05/07/2025 18:38:12,05/07/2025,Client 121,47,"PHP 159,500",Married,3,MAGALANG EAST,Referral,OFW Land base,Pricewaterhousecoopers Uae,Deferred Cash,50,"PHP 110,500",CALISTA END
05/07/2025 15:42:49,05/07/2025,Client 122,39,"PHP 129,000",Single,,BALIWAG,Referral,Self Employed/ Business Owner,Own accounting practice,Cash,,,CALISTA END
05/10/2025 08:58:25,05/10/2025,Client 123,27,"PHP 133,000",Married,7,GEN TRI,Facebook Ads,OFW Land base,Four seasons dubai,10-90 Bank Financing,22,"PHP 78,500",CALISTA END
05/10/2025 12:11:04,05/10/2025,Client 124,51,"PHP 131,500",Widow,3,LIPA,Broker/Agent,Self Employed/ Business Owner,event catering Entrepreneur,20-80 Pagibig Financing,N/a,N/a,CALISTA END
05/12/2025 19:40:09,05/12/2025,Client 125,30,"PHP 192,500",Married,2,STO. TOMAS,Facebook Ads,OFW Land base,Kuwait Oil company,20-80 Pagibig Financing,35,"PHP 209,000",CALISTA END
05/12/2025 18:11:55,05/12/2025,Client 126,35,"PHP 86,000",Married,2,MAGALANG EAST,Facebook Ads,Locally Employed,San Miguel Corporation,Cash,40,"PHP 79,500",CALISTA END
05/14/2025 20:01:26,05/14/2025,Client 127,40,"PHP 140,500",Married,7,PANDI EXPANSION,Broker/Agent,Self Employed/ Business Owner,Sari-sari store,Cash,35,"PHP 136,000",CALISTA END
05/16/2025 08:40:34,05/16/2025,Client 128,27,"PHP 44,000",Married,3,BALIWAG,Referral,Locally Employed,philippine general hospital,10-90 Bank Financing,26,"PHP 28,000",CALISTA MID
05/17/2025 09:18:25,05/17/2025,Client 129,39,"PHP 225,000",Single,,LIPA,Referral,OFW Land base,sohar aluminum,10-90 Bank Financing,,,CALISTA END
05/18/2025 15:44:50,05/18/2025,Client 130,39,"PHP 103,000",Single,N/a,SAN PABLO EAST,Broker/Agent,OFW Land base,prosegur uae,20-80 Pagibig Financing,N/a,N/a,CALISTA END
05/21/2025 09:42:14,05/21/2025,Client 131,39,"PHP 75,000",Married,4,BALIWAG,Facebook Ads,Self Employed/ Business Owner,own business operations,20-80 Pagibig Financing,34,"PHP 40,500",CALISTA END
05/22/2025 18:46:56,05/22/2025,Client 132,42,"PHP 132,500",Married,2,CALAMBA,Facebook Ads,OFW Land base,aster dm healthcare,10-90 Bank Financing,40,"PHP 125,000",CALISTA END
05/30/2025 09:44:04,05/30/2025,Client 133,45,"PHP 118,500",Single,,LIPA,Facebook Ads,Locally Employed,land bank of the philippines,20-80 Pagibig Financing,,,CALISTA END
05/31/2025 19:33:24,05/31/2025,Client 134,40,"PHP 170,000",Married,3,BATULAO,Referral,OFW Land base,Enoc,20-80 Pagibig Financing,42,"PHP 93,000",CALISTA END
05/31/2025 17:52:22,05/31/2025,Client 135,48,"PHP 43,000",Single,N/a,BATULAO,Referral,OFW Sea Base,maersk line,20-80 Pagibig Financing,N/a,N/a,CALISTA MID
06/10/2025 11:22:53,06/10/2025,Client 136,33,"PHP 64,500",Married,2,MAGALANG EAST,Referral,OFW Land base,samsung hq seoul,10-90 Bank Financing,31,"PHP 38,500",CALISTA END
06/11/2025 11:07:32,06/11/2025,Client 137,39,"PHP 60,500",Single,,STO. TOMAS,Facebook Ads,OFW Land base,pricewaterhousecoopers uae,20-80 Pagibig Financing,,,CALISTA MID
06/13/2025 13:43:23,06/13/2025,Client 138,45,"PHP 250,500",Single,N/a,BALIWAG,Referral,Locally Employed,San miguel corporation,20-80 Pagibig Financing,N/a,N/a,UNNA CORNER
06/13/2025 19:52:56,06/13/2025,Client 139,37,"PHP 234,000",Married,5,CALAMBA,Referral,OFW Sea Base,msc cruises,10-90 Bank Financing,37,"PHP 130,000",CALISTA END
06/18/2025 12:45:11,06/18/2025,Client 140,54,"PHP 27,500",Single,,IMPRESSIONS HERMOSA,Broker/Agent,Self Employed/ Business Owner,own accounting practice,20-80 Pagibig Financing,,,CALISTA MID
