Timestamp,Date,"Principal Buyer Full Name (First M.I., Family)",Age,Income of Principal Buyer,Marital Status,No. of Family Members,Preferred Location,SOURCE OF LEAD,Source of Income,Employer,Preferred Pay Term,"Spouse Full Name (First M.I., Family)",Age of Spouse,Income of Spouse
09/14/2024 14:44:55,09/14/2024,Client 61,41,"PHP 102,000",Married,5,PANDI EXPANSION,Referral,OFW Land base,four seasons dubai,20-80 Pagibig Financing,Spouse of Client 61,41,"PHP 110,000"
09/24/2024 16:58:50,09/24/2024,Client 62,41,"PHP 125,500",Married,6,CALAMBA,Facebook Ads,OFW Land base,Hyundai engineering korea,20-80 Pagibig Financing,Spouse of Client 62,43,"PHP 86,000"
10/05/2024 12:58,10/05/2024,Client 63,53,"PHP 233,500",Married,4,STO. TOMAS,Broker/Agent,OFW Land base,Al rajhi bank,20-80 Pagibig Financing,Spouse of Client 63,51,"PHP 239,000"
10/05/2024 8:35,10/05/2024,Client 64,34,"PHP 189,500",Married,2,PANDI EXPANSION,Broker/Agent,OFW Sea Base,msc cruises,10-90 Bank Financing,Spouse of Client 64,30,"PHP 227,500"
10/06/2024 15:05,10/06/2024,Client 65,34,"PHP 146,000",Single,N/A,BATULAO,Referral,OFW Land base,SOHAR aluminum,10-90 Bank Financing,N/A,N/A,N/A
10/06/2024 10:10,10/06/2024,Client 66,44,"PHP 70,000",Married,3,BATULAO,Referral,OFW Land base,aramco,20-80 Pagibig Financing,Spouse of Client 66,42,"PHP 78,000"
10/08/2024 16:38,10/08/2024,Client 67,50,"PHP 95,500",Single,N/a,BATULAO,Referral,OFW Sea Base,carnival cruise line,20-80 Pagibig Financing,N/a,N/a,N/a
10/12/2024 10:16,10/12/2024,Client 68,45,"PHP 30,500",Single,N/a,BATULAO,Broker/Agent,Self Employed/ Business Owner,family agricultural business,10-90 Bank Financing,N/a,N/a,N/a
10/15/2024 12:46:39,10/15/2024,Client 69,34,"PHP 74,500",Married,7,SAN PABLO EAST,Broker/Agent,Locally Employed,ayala land construction,20-80 Pagibig Financing,Spouse of Client 69,33,"PHP 63,500"
10/15/2024 13:03:30,10/15/2024,Client 70,27,"PHP 160,000",Single,N/a,MAGALANG EAST,Other:,OFW Land base,adnoc,20-80 Pagibig Financing,N/a,N/a,N/a
10/15/2024 16:17:20,10/15/2024,Client 71,47,"PHP 206,000",Married,5,GEN TRI,Broker/Agent,OFW Sea Base,carnival cruise line,10-90 Bank Financing,Spouse of Client 71,48,"PHP 262,000"
10/21/2024 15:09:41,10/21/2024,Client 72,53,"PHP 38,000",Single,N/a,STO. TOMAS,Facebook Ads,OFW Sea Base,carnival cruise Line,20-80 Pagibig Financing,N/a,N/a,N/a
10/24/2024 15:41:56,10/24/2024,Client 73,41,"PHP 19,000",Married,4,BATULAO,Broker/Agent,Self Employed/ Business Owner,Sari-sari store,10-90 Bank Financing,Spouse of Client 73,44,"PHP 14,000"
10/25/2024 10:36:11,10/25/2024,Client 74,42,"PHP 40,000",Single,n/a,MAGALANG EAST,Referral,OFW Land base,Al futtaim group,20-80 Pagibig Financing,n/a,n/a,n/a
10/27/2024 20:17:36,10/27/2024,Client 75,53,"PHP 200,000",Single,N/A,MAGALANG EAST,Broker/Agent,Locally Employed,Ayala land construction,Cash,N/A,N/A,N/A
10/28/2024 14:48:58,10/28/2024,Client 76,48,"PHP 211,000",Married,4,BALIWAG,Facebook Ads,OFW Sea Base,CARNIVAL cruise line,10-90 Bank Financing,Spouse of Client 76,51,"PHP 127,000"
10/30/2024 09:56:42,10/30/2024,Client 77,49,"PHP 182,500",Married,3,NAIC,Other:,OFW Sea Base,msc cruises,10-90 Bank Financing,Spouse of Client 77,50,"PHP 220,000"
10/31/2024 15:40:34,10/31/2024,Client 78,32,"PHP 176,000",Widow,N/A,LIPA,Facebook Ads,Locally Employed,metrobank,20-80 Pagibig Financing,N/A,N/A,N/A
10/31/2024 20:06:43,10/31/2024,Client 79,47,"PHP 92,000",Married,3,LIPA,Facebook Ads,OFW Land base,Samsung C&t (saudi),20-80 Pagibig Financing,Spouse of Client 79,51,"PHP 57,500"
11/05/2024 10:15,11/05/2024,Client 80,39,"PHP 74,000",Married,4,MAGALANG EAST,Referral,Self Employed/ Business Owner,freelance services,20-80 Pagibig Financing,Spouse of Client 80,44,"PHP 77,000"
11/10/2024 12:46,11/10/2024,Client 81,25,"PHP 139,500",Single,N/a,BALANGA,Broker/Agent,OFW Land base,Four seasons dubai,20-80 Pagibig Financing,N/a,N/a,N/a
11/25/2024 16:59:18,11/25/2024,Client 82,49,"PHP 92,500",Married,2,LIPA,Facebook Ads,Self Employed/ Business Owner,event catering entrepreneur,20-80 Pagibig Financing,Spouse of Client 82,51,"PHP 60,500"
12/05/2024 16:15,12/05/2024,Client 83,33,"PHP 193,000",Single,N/A,BATULAO,Facebook Ads,OFW Land base,Samsung c&t (saudi),10-90 Bank Financing,N/A,N/A,N/A
12/10/2024 14:02,12/10/2024,Client 84,50,"PHP 175,000",Single,N/a,PANDI EXPANSION,Broker/Agent,OFW Sea Base,carnival cruise line,20-80 Pagibig Financing,N/a,N/a,N/a
12/12/2024 19:12,12/12/2024,Client 85,54,"PHP 72,000",Single,N/a,NAIC,Facebook Ads,OFW Land base,bechtel middle east,Deferred Cash,N/a,N/a,N/a
12/15/2024 19:01:35,12/15/2024,Client 86,30,"PHP 30,000",Married,2,MAGALANG EAST,Referral,OFW Land base,aramco,20-80 Pagibig Financing,Spouse of Client 86,35,"PHP 23,500"
12/17/2024 11:03:53,12/17/2024,Client 87,33,"PHP 118,500",Single,n/a,PANDI EXPANSION,Facebook Ads,OFW Land base,Petrofac,20-80 Pagibig Financing,n/a,n/a,n/a
12/24/2024 08:53:01,12/24/2024,Client 88,48,"PHP 25,500",Single,n/a,LIPA,Facebook Ads,Self Employed/ Business Owner,Own accounting Practice,20-80 Pagibig Financing,n/a,n/a,n/a
12/31/2024 09:28:54,12/31/2024,Client 89,27,"PHP 140,500",Married,5,PANDI EXPANSION,Broker/Agent,Locally Employed,department OF EDUCATION,Cash,Spouse of Client 89,26,"PHP 144,000"
01/01/2025 11:26,01/01/2025,Client 90,29,"PHP 97,500",Married,2,BATULAO,Referral,Self Employed/ Business Owner,own business operations,Cash,Spouse of Client 90,27,"PHP 80,500"
01/01/2025 17:28,01/01/2025,Client 91,33,"PHP 194,000",Single,n/a,BATULAO,Broker/Agent,OFW Land base,al futtaim group,20-80 Pagibig Financing,n/a,n/a,n/a
01/12/2025 9:04,01/12/2025,Client 92,28,"PHP 92,000",Widow,N/a,GEN TRI,Broker/Agent,Self Employed/ Business Owner,family catering services,20-80 Pagibig Financing,N/a,N/a,N/a
01/14/2025 09:04:28,01/14/2025,Client 93,54,"PHP 40,500",Single,n/a,LIPA,Facebook Ads,Self Employed/ Business Owner,family agricultural business,Cash,n/a,n/a,n/a
01/17/2025 17:53:39,01/17/2025,Client 94,43,"PHP 50,000",Married,4,GAPAN,Facebook Ads,OFW Land base,Sohar aluminum,20-80 Pagibig Financing,Spouse of Client 94,39,"PHP 45,000"
01/18/2025 16:17:17,01/18/2025,Client 95,50,"PHP 62,500",Married,4,GEN TRI,Referral,OFW Land base,enoc,10-90 Bank Financing,Spouse of Client 95,45,"PHP 57,500"
01/22/2025 15:49:19,01/22/2025,Client 96,52,"PHP 93,000",Married,6,NAIC,Facebook Ads,OFW Land base,Consolidated contractors,20-80 Pagibig Financing,Spouse of Client 96,49,"PHP 84,500"
01/22/2025 13:24:35,01/22/2025,Client 97,47,"PHP 128,000",Single,N/A,PANDI EXPANSION,Referral,OFW Sea Base,evergreen marine,20-80 Pagibig Financing,N/A,N/A,N/A
01/24/2025 12:43:39,01/24/2025,Client 98,49,"PHP 113,000",Single,n/a,BATULAO,Referral,OFW Land base,prosegur uae,Deferred Cash,n/a,n/a,n/a
02/07/2025 14:28,02/07/2025,Client 99,35,"PHP 183,500",Single,N/A,GAPAN,Facebook Ads,OFW Sea Base,carnival cruise line,20-80 Pagibig Financing,N/A,N/A,N/A
02/09/2025 8:03,02/09/2025,Client 100,39,"PHP 147,500",Married,4,MAGALANG EAST,Other:,OFW Land base,emaar properties,20-80 Pagibig Financing,Spouse of Client 100,40,"PHP 129,000"
02/12/2025 16:18,02/12/2025,Client 101,35,"PHP 217,500",Married,2,BATULAO,Facebook Ads,OFW Land base,al rajhi bank,20-80 Pagibig Financing,Spouse of Client 101,40,"PHP 216,500"
02/22/2025 14:36:53,02/22/2025,Client 102,55,"PHP 140,000",Married,7,BALIWAG,Referral,Locally Employed,bureau OF internal REVENUE,Cash,Spouse of Client 102,59,"PHP 156,000"
03/08/2025 9:45,03/08/2025,Client 103,40,"PHP 112,500",Married,5,TAYABAS,Broker/Agent,OFW Land base,four SEASONS dubai,20-80 Pagibig Financing,Spouse of Client 103,35,"PHP 146,000"
03/10/2025 18:37,03/10/2025,Client 104,32,"PHP 69,500",Married,6,BATULAO,Broker/Agent,OFW Sea Base,evergreen marine,20-80 Pagibig Financing,Spouse of Client 104,28,"PHP 67,000"
03/12/2025 16:38,03/12/2025,Client 105,38,"PHP 153,500",Single,N/A,BALIWAG,Facebook Ads,Locally Employed,the medical city,20-80 Pagibig Financing,N/A,N/A,N/A
03/13/2025 11:45:00,03/13/2025,Client 106,34,"PHP 41,500",Single,N/a,CALAMBA,Facebook Ads,Self Employed/ Business Owner,independent contractor,20-80 Pagibig Financing,N/a,N/a,N/a
03/15/2025 16:45:44,03/15/2025,Client 107,47,"PHP 119,000",Single,N/A,IMPRESSIONS HERMOSA,Other:,OFW Land base,Petrofac,20-80 Pagibig Financing,N/A,N/A,N/A
03/17/2025 17:04:14,03/17/2025,Client 108,44,"PHP 73,500",Single,N/a,GEN TRI,Referral,OFW Land base,Jumeirah group,20-80 Pagibig Financing,N/a,N/a,N/a
03/19/2025 19:26:34,03/19/2025,Client 109,25,"PHP 112,000",Married,2,PANDI EXPANSION,Facebook Ads,OFW Land base,apple inc.,20-80 Pagibig Financing,Spouse of Client 109,22,"PHP 145,000"
03/29/2025 09:36:36,03/29/2025,Client 110,52,"PHP 200,500",Married,5,CALAMBA,Broker/Agent,OFW Land base,adnoc,20-80 Pagibig Financing,Spouse of Client 110,53,"PHP 227,000"
04/08/2025 13:59,04/08/2025,Client 111,30,"PHP 116,500",Married,2,MAGALANG EAST,Facebook Ads,OFW Land base,japan tobacco int'l,20-80 Pagibig Financing,Spouse of Client 111,32,"PHP 89,000"
04/10/2025 13:30,04/10/2025,Client 112,27,"PHP 108,000",Married,6,LIPA,Referral,OFW Land base,Samsung hq seoul,20-80 Pagibig Financing,Spouse of Client 112,29,"PHP 129,000"
04/20/2025 20:42:08,04/20/2025,Client 113,42,"PHP 94,000",Married,4,LIPA,Facebook Ads,OFW Land base,pricewaterhousecoopers uae,Deferred Cash,Spouse of Client 113,43,"PHP 78,500"
04/22/2025 20:00:09,04/22/2025,Client 114,37,"PHP 29,000",Single,N/A,BATULAO,Referral,Locally Employed,Accenture philippines,10-90 Bank Financing,N/A,N/A,N/A
04/24/2025 09:52:23,04/24/2025,Client 115,43,"PHP 182,000",Married,7,GEN TRI,Facebook Ads,OFW Sea Base,carnival cruise line,20-80 Pagibig Financing,Spouse of Client 115,41,"PHP 131,000"
04/25/2025 09:51:38,04/25/2025,Client 116,33,"PHP 136,500",Single,n/a,BATULAO,Facebook Ads,Locally Employed,bdo UNIBANK,Cash,n/a,n/a,n/a
04/25/2025 17:24:40,04/25/2025,Client 117,30,"PHP 144,500",Single,N/A,BATULAO,Facebook Ads,Locally Employed,Meralco,20-80 Pagibig Financing,N/A,N/A,N/A
04/25/2025 13:44:45,04/25/2025,Client 118,47,"PHP 198,500",Married,6,LIPA,Facebook Ads,OFW Land base,Aster dm healthcare,20-80 Pagibig Financing,Spouse of Client 118,44,"PHP 230,500"
04/25/2025 20:34:54,04/25/2025,Client 119,43,"PHP 45,500",Married,4,BATULAO,Broker/Agent,Self Employed/ Business Owner,tricycle operator,20-80 Pagibig Financing,Spouse of Client 119,47,"PHP 55,500"
05/05/2025 12:22,05/05/2025,Client 120,26,"PHP 80,000",Married,6,BATULAO,Facebook Ads,OFW Land base,Qatar petroleum,20-80 Pagibig Financing,Spouse of Client 120,31,"PHP 51,000"
05/07/2025 18:38,05/07/2025,Client 121,47,"PHP 159,500",Married,3,MAGALANG EAST,Referral,OFW Land base,Pricewaterhousecoopers Uae,Deferred Cash,Spouse of Client 121,50,"PHP 110,500"
05/07/2025 15:42,05/07/2025,Client 122,39,"PHP 129,000",Single,N/A,BALIWAG,Referral,Self Employed/ Business Owner,Own accounting practice,Cash,N/A,N/A,N/A
05/10/2025 8:58,05/10/2025,Client 123,27,"PHP 133,000",Married,7,GEN TRI,Facebook Ads,OFW Land base,Four seasons dubai,10-90 Bank Financing,Spouse of Client 123,22,"PHP 78,500"
05/10/2025 12:11,05/10/2025,Client 124,51,"PHP 131,500",Widow,3,LIPA,Broker/Agent,Self Employed/ Business Owner,event catering Entrepreneur,20-80 Pagibig Financing,N/a,N/a,N/a
05/12/2025 19:40,05/12/2025,Client 125,30,"PHP 192,500",Married,2,STO. TOMAS,Facebook Ads,OFW Land base,Kuwait Oil company,20-80 Pagibig Financing,Spouse of Client 125,35,"PHP 209,000"
05/12/2025 18:11,05/12/2025,Client 126,35,"PHP 86,000",Married,2,MAGALANG EAST,Facebook Ads,Locally Employed,San Miguel Corporation,Cash,Spouse of Client 126,40,"PHP 79,500"
05/14/2025 20:01:26,05/14/2025,Client 127,40,"PHP 140,500",Married,7,PANDI EXPANSION,Broker/Agent,Self Employed/ Business Owner,Sari-sari store,Cash,Spouse of Client 127,35,"PHP 136,000"
05/16/2025 08:40:34,05/16/2025,Client 128,27,"PHP 44,000",Married,3,BALIWAG,Referral,Locally Employed,philippine general hospital,10-90 Bank Financing,Spouse of Client 128,26,"PHP 28,000"
05/17/2025 09:18:25,05/17/2025,Client 129,39,"PHP 225,000",Single,n/a,LIPA,Referral,OFW Land base,sohar aluminum,10-90 Bank Financing,n/a,n/a,n/a
05/18/2025 15:44:50,05/18/2025,Client 130,39,"PHP 103,000",Single,N/a,SAN PABLO EAST,Broker/Agent,OFW Land base,prosegur uae,20-80 Pagibig Financing,N/a,N/a,N/a
05/21/2025 09:42:14,05/21/2025,Client 131,39,"PHP 75,000",Married,4,BALIWAG,Facebook Ads,Self Employed/ Business Owner,own business operations,20-80 Pagibig Financing,Spouse of Client 131,34,"PHP 40,500"
05/22/2025 18:46:56,05/22/2025,Client 132,42,"PHP 132,500",Married,2,CALAMBA,Facebook Ads,OFW Land base,aster dm healthcare,10-90 Bank Financing,Spouse of Client 132,40,"PHP 125,000"
05/30/2025 09:44:04,05/30/2025,Client 133,45,"PHP 118,500",Single,N/A,LIPA,Facebook Ads,Locally Employed,land bank of the philippines,20-80 Pagibig Financing,N/A,N/A,N/A
05/31/2025 19:33:24,05/31/2025,Client 134,40,"PHP 170,000",Married,3,BATULAO,Referral,OFW Land base,Enoc,20-80 Pagibig Financing,Spouse of Client 134,42,"PHP 93,000"
05/31/2025 17:52:22,05/31/2025,Client 135,48,"PHP 43,000",Single,N/a,BATULAO,Referral,OFW Sea Base,maersk line,20-80 Pagibig Financing,N/a,N/a,N/a
06/10/2025 11:22,06/10/2025,Client 136,33,"PHP 64,500",Married,2,MAGALANG EAST,Referral,OFW Land base,samsung hq seoul,10-90 Bank Financing,Spouse of Client 136,31,"PHP 38,500"
